host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
100,100,49.26407,-123.06613,1,1,30,1,49,100,1
NA,NA,49.26412,-123.20605,2,2,1,2,50,100,3
NA,NA,49.20621,-123.05634,1,2,1,2,45,100,1
100,91,49.28132,-123.10828,1,1,7,2,84,100,47
100,83,49.22115,-123.05264,1,1,7,2,50,96,21
100,90,49.26406,-123.07244,1,1,30,1,30,70,2
100,100,49.25402,-123.04108,1,1,3,2,60,95,44
NA,NA,49.20916,-123.06021,1,1,360,1,49,100,1
100,95,49.25576,-123.09318,1,1,2,2,45,91,23
100,95,49.27038,-123.06968,1,1,2,2,79,88,18
100,100,49.27159,-123.16076,1,1,30,2,65,100,2
99,100,49.21471,-123.14419,1,1,1,2,39,94,35
NA,100,49.2285,-123.08583,1,1,1,2,55,93,26
NA,NA,49.25103,-123.06134,2,3,2,5,82,99,27
NA,NA,49.27394,-123.12686,1,1,1,2,58,93,3
100,88,49.27536,-123.10028,1,1,30,2,60,88,8
100,20,49.28013,-123.12447,1,1,30,2,75,90,4
33,NA,49.25009,-123.05933,1,0,30,2,61,100,1
94,99,49.26773,-123.21173,1,0,1,1,31,70,2
94,99,49.26724,-123.21124,1,0,30,1,20,87,3
94,99,49.26722,-123.21319,1,0,30,1,20,70,2
